arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,best-of-fast,12.081,12.081,0,0.001,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,cpsat,12.081,12.081,0,0.316,OPTIMAL,0.0,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,cpsat:warm,12.081,12.081,0,0.297,OPTIMAL,0.0,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,cpsat:warmbest,12.081,12.081,0,0.314,OPTIMAL,0.0,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,decomposed,12.081,12.081,0,0.0,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,greedy,12.081,12.081,0,0.0,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,greedy_periodic,12.081,12.081,0,0.0,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,greedy_reserved,12.081,12.081,0,0.0,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,heft,12.081,12.081,0,0.0,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,heft_edf,12.081,12.081,0,0.001,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,pso,12.081,12.081,0,0.017,,,0,0,0,
s10port,depth_chain,dc,networks_depth_chain_dc,4,4,2,sa,12.081,12.081,0,0.06,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,best-of-fast,12.133,12.133,0,0.001,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,cpsat,12.133,12.133,0,0.315,OPTIMAL,0.0,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,cpsat:warm,12.133,12.133,0,0.315,OPTIMAL,0.0,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,cpsat:warmbest,12.133,12.133,0,0.313,OPTIMAL,0.0,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,decomposed,12.133,12.133,0,0.0,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,greedy,12.133,12.133,0,0.0,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,greedy_periodic,12.133,12.133,0,0.0,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,greedy_reserved,12.133,12.133,0,0.0,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,heft,12.133,12.133,0,0.0,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,heft_edf,12.133,12.133,0,0.001,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,pso,12.133,12.133,0,0.022,,,0,0,0,
s10port,depth_chain_hd,?,networks_depth_chain_hd,4,4,2,sa,12.133,12.133,0,0.067,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,best-of-fast,12.235,12.235,0,0.001,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,cpsat,12.235,12.235,0,0.315,OPTIMAL,0.0,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,cpsat:warm,12.235,12.235,0,0.296,OPTIMAL,0.0,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,cpsat:warmbest,12.235,12.235,0,0.298,OPTIMAL,0.0,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,decomposed,12.235,12.235,0,0.0,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,greedy,12.235,12.235,0,0.0,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,greedy_periodic,12.235,12.235,0,0.0,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,greedy_reserved,12.235,12.235,0,0.0,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,heft,12.235,12.235,0,0.0,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,heft_edf,12.235,12.235,0,0.001,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,pso,12.235,12.235,0,0.025,,,0,0,0,
s10port,depth_chain_quad,?,networks_depth_chain_quad,4,4,4,sa,12.235,12.235,0,0.074,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,best-of-fast,3.887,13.767,0,0.001,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,cpsat,3.887,13.767,0,0.305,OPTIMAL,0.0,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,cpsat:warm,3.887,13.767,0,0.302,OPTIMAL,0.0,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,cpsat:warmbest,3.887,13.767,0,0.298,OPTIMAL,0.0,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,decomposed,3.887,13.767,0,0.0,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,greedy,3.887,13.767,0,0.0,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,greedy_periodic,3.887,13.767,0,0.0,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,greedy_reserved,3.887,13.767,0,0.0,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,heft,3.887,13.767,0,0.0,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,heft_edf,3.887,13.767,0,0.001,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,pso,3.887,13.767,0,0.025,,,0,0,0,
s10port,depth_contended,cg,networks_depth_contended_cg,5,4,2,sa,3.887,13.767,0,0.08,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,best-of-fast,3.46,12.081,0,0.001,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,cpsat,3.46,14.083,0,0.295,OPTIMAL,0.0,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,cpsat:warm,3.46,12.081,0,0.297,OPTIMAL,0.0,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,cpsat:warmbest,3.46,12.081,0,0.296,OPTIMAL,0.0,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,decomposed,3.887,12.081,0,0.0,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,greedy,3.887,12.081,0,0.0,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,greedy_periodic,3.46,12.081,0,0.0,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,greedy_reserved,3.46,12.903,0,0.0,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,heft,3.887,12.081,0,0.0,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,heft_edf,3.887,12.081,0,0.001,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,pso,3.46,12.903,0,0.017,,,0,0,0,
s10port,depth_contended,dc,networks_depth_contended_dc,5,4,2,sa,3.46,12.903,0,0.076,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,best-of-fast,3.46,12.133,0,0.001,,,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,cpsat,3.46,12.133,0,0.32,OPTIMAL,0.0,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,cpsat:warm,3.46,12.133,0,0.3,OPTIMAL,0.0,0,0,0,
s10port,depth_contended_hd,?,networks_depth_contended_hd,5,4,2,cpsat:warmbest,3.46,12.133,0,0.31,OPTIMAL,0.0,0,0,0,
